Journal,Rank,Author,PapersInJournal,PrimaryAffiliation,TopAffiliationsInJournal,ORCID,OpenAlexAuthorId
JIS,72,Julia L. Higgs,4,Florida Atlantic University,Florida Atlantic University (4),https://orcid.org/0000-0003-2698-5904,https://openalex.org/A5035312122
JIS,72,Marilyn Greenstein,4,Arizona State University,Arizona State University (4),,https://openalex.org/A5024743715
JIS,72,Mark D. Sheldon,4,John Carroll University,John Carroll University (4),https://orcid.org/0000-0003-1860-442X,https://openalex.org/A5061486187
JIS,72,Pamela Schmidt,4,Washburn University,Washburn University (3); Wayne State University (1),https://orcid.org/0000-0001-9136-1941,https://openalex.org/A5061793642
JIS,72,Rajiv D. Banker,4,The University of Texas at Dallas,Temple College (2); Temple University (2); The University of Texas at Dallas (2),https://orcid.org/0000-0001-8082-7312,https://openalex.org/A5046472405
JIS,72,Scott L. Summers,4,Brigham Young University,Brigham Young University (4),https://orcid.org/0000-0002-7824-6591,https://openalex.org/A5087829262
JIS,72,Severin V. Grabski,4,Michigan State University,Michigan State University (4),,https://openalex.org/A5049204591
JIS,72,Soon-Goo Hong,4,,,https://orcid.org/0009-0009-3780-0603,https://openalex.org/A5003661474
JIS,72,Taeho Hong,4,,,https://orcid.org/0000-0003-1337-7993,https://openalex.org/A5100607101
JIS,72,Tracie Frost,4,Hong Kong Polytechnic University,Hong Kong Polytechnic University (3); Florida Atlantic University (1),https://orcid.org/0000-0002-0306-3096,https://openalex.org/A5032390159
JIS,72,Xu Cheng,4,Auburn University,Auburn University (4),https://orcid.org/0000-0002-3734-0952,https://openalex.org/A5103079426
JIS,72,Zhijian He,4,Marquette University,Marquette University (4); Florida Atlantic University (1),https://orcid.org/0000-0003-1338-0981,https://openalex.org/A5016115613
JIS,97,Akhilesh Chandra,3,University of Akron,University of Akron (1),https://orcid.org/0000-0002-3788-2524,https://openalex.org/A5052848454
JIS,97,Alastair Robb,3,University of Queensland,University of Queensland (3),,https://openalex.org/A5108284479
JIS,97,Andreas I. Nicolaou,3,Bowling Green State University,Bowling Green State University (3),,https://openalex.org/A5070137549
JIS,97,Arline Savage,3,,California Polytechnic State University (2),https://orcid.org/0000-0001-7680-3270,https://openalex.org/A5007866774
