PublicationYear,PublicationDate,Journal,Title,Authors,DOI,LandingPageUrl,OpenAlexWorkId
2023,2023-10-01,JETA,Large Language Models: An Emerging Technology in Accounting,Miklos A. Vasarhelyi; Kevin Moffitt; Trevor Stewart; Dan Sunderland,https://doi.org/10.2308/jeta-2023-047,https://doi.org/10.2308/jeta-2023-047,https://openalex.org/W4387526396
2023,2023-07-21,JIS,Designing a Classifying System for Nonprofit Organizations Using Textual Contents from the Mission Statement,Heejae Lee; Xinxin Wang; Richard B. Dull,https://doi.org/10.2308/isys-2021-033,https://doi.org/10.2308/isys-2021-033,https://openalex.org/W4385070314
2023,2023-05-24,IJAIS,Audit 4.0-based ESG assurance: An example of using satellite images on GHG emissions,Yu Gu; Jun Dai; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2023.100625,https://doi.org/10.1016/j.accinf.2023.100625,https://openalex.org/W4377981883
2023,2023-05-11,JETA,Internet of Things and Blockchain-Based Smart Contracts: Enabling Continuous Risk Monitoring and Assessment in Peer-to-Peer Lending,Zihao Zhang; Yu Gu; Lanxin Jiang; Wenjun Yu; Jun Dai,https://doi.org/10.2308/jeta-2022-003,https://doi.org/10.2308/jeta-2022-003,https://openalex.org/W4376128508
2023,2023-05-01,JETA,Management Accounting 4.0: The Future of Management Accounting,Jun Dai; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2023-009,https://doi.org/10.2308/jeta-2023-009,https://openalex.org/W4372271541
2023,2023-05-01,JETA,Teaching Predictive Audit Data Analytic Techniques: Time-Series Forecasting with Transactional and Exogenous Data,Zhaokai Yan; Deniz Appelbaum; Alexander Kogan; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2020-018,https://doi.org/10.2308/jeta-2020-018,https://openalex.org/W4378840605
2023,2023-04-12,JETA,"Environmental, Social, and Governance Taxonomy Simplification: A Hybrid Text Mining Approach",Lanxin Jiang; Yu Gu; Jun Dai,https://doi.org/10.2308/jeta-2022-041,https://doi.org/10.2308/jeta-2022-041,https://openalex.org/W4365385036
2023,2023-01-24,IJDAR,Doublethink in governmental accounting: development of an RPA to identify inconsistencies in financial reporting,,https://doi.org/10.4192/1577-8517-v24_1,https://doi.org/10.4192/1577-8517-v24_1,https://openalex.org/W4391185282
2022,2022-11-25,IJAIS,Enhancing the government accounting information systems using social media information: An application of text mining and machine learning,Huijue Kelly Duan; Miklos A. Vasarhelyi; Maurí­cio Mello Codesso; Zamil S. Alzamil,https://doi.org/10.1016/j.accinf.2022.100600,https://doi.org/10.1016/j.accinf.2022.100600,https://openalex.org/W4310022052
2022,2022-11-01,JETA,Annual Editor Report,Miklos A. Vasarhelyi; Hui Du,https://doi.org/10.2308/jeta-10856,http://dx.doi.org/10.2308/jeta-10856,https://openalex.org/W4387508281
